Date,Open,High,Low,Close,Volume
20180101 170000,1.20037,1.201,1.20037,1.201,0
20180102 170300,1.20582,1.20582,1.2055,1.20555,0
20180103 170400,1.20144,1.20144,1.20141,1.20141,0
20180104 170400,1.20679,1.20679,1.20677,1.20679,0
20180107 170900,1.20318,1.20344,1.20317,1.20344,0
20180108 171400,1.19672,1.19672,1.19661,1.19661,0
20180109 171600,1.19353,1.19358,1.19353,1.19353,0
20180110 171900,1.19506,1.19507,1.19506,1.19507,0
20180111 172000,1.2032,1.2032,1.20318,1.2032,0
20180114 172000,1.22011,1.22011,1.22006,1.22008,0
20180115 172300,1.22643,1.22645,1.22643,1.22644,0
20180116 172400,1.22617,1.2262,1.22612,1.22616,0
20180117 172400,1.2188,1.21898,1.21868,1.2188,0
20180118 172400,1.22389,1.22389,1.22351,1.22378,0
20180121 172400,1.22603,1.22605,1.22598,1.22598,0
20180122 172500,1.22626,1.22626,1.22618,1.22624,0
20180123 172700,1.22969,1.22976,1.22968,1.22976,0
20180124 172700,1.24086,1.2409,1.24084,1.24085,0
20180125 172800,1.23854,1.23856,1.23847,1.23847,0
20180128 172800,1.24185,1.24185,1.24185,1.24185,0
20180129 172900,1.23799,1.23811,1.23799,1.23807,0
20180130 173200,1.24021,1.24021,1.2402,1.2402,0
20180131 173300,1.24111,1.24113,1.24076,1.24088,0
20180201 173300,1.25081,1.25084,1.25073,1.25074,0
20180204 173300,1.24308,1.24318,1.24307,1.24317,0
20180205 173400,1.23788,1.23788,1.23783,1.23787,0
20180206 173400,1.23789,1.23789,1.2377,1.23784,0
20180207 173500,1.22595,1.22595,1.22578,1.22578,0
20180208 173600,1.22444,1.22444,1.22434,1.22434,0
20180211 174400,1.22491,1.22491,1.22489,1.22489,0
20180212 174800,1.22898,1.22898,1.22892,1.22898,0
20180213 174800,1.23475,1.23483,1.23473,1.23483,0
20180214 175000,1.24543,1.24544,1.24542,1.24543,0
20180215 175000,1.25004,1.25005,1.25,1.25004,0
20180218 175300,1.24149,1.24149,1.24145,1.24147,0
20180219 181100,1.24062,1.24066,1.24057,1.24066,0
20180220 181300,1.23307,1.23308,1.23284,1.23298,0
20180221 181300,1.22783,1.22791,1.22781,1.22791,0
20180222 181400,1.23346,1.23348,1.23339,1.23342,0
20180225 181500,1.22941,1.22942,1.22941,1.22942,0
20180226 181700,1.23109,1.23109,1.23099,1.23105,0
20180227 181800,1.22348,1.22351,1.22348,1.22351,0
20180228 182100,1.21926,1.21926,1.2192,1.2192,0
20180301 182200,1.22684,1.22689,1.22683,1.22687,0
20180304 182300,1.23261,1.23261,1.23222,1.23222,0
20180305 182400,1.2337,1.2337,1.23365,1.23365,0
20180306 182500,1.2413,1.24134,1.24127,1.24132,0
20180307 182700,1.24103,1.24107,1.24103,1.24107,0
20180308 182800,1.23086,1.23086,1.23083,1.23084,0
20180311 183800,1.23103,1.23108,1.23103,1.23106,0
20180312 184700,1.2334,1.23344,1.2334,1.2334,0
20180313 185000,1.23922,1.23923,1.23917,1.23923,0
20180314 185100,1.2368,1.23687,1.23677,1.23677,0
20180315 185600,1.23065,1.23066,1.23061,1.23066,0
20180318 190900,1.22836,1.22836,1.22826,1.22827,0
20180319 191400,1.23381,1.23388,1.2338,1.2338,0
20180320 191400,1.22439,1.22448,1.22439,1.22447,0
20180321 191700,1.23454,1.23467,1.23451,1.23466,0
20180322 191700,1.23253,1.23258,1.23253,1.23257,0
20180325 192500,1.23643,1.23643,1.23631,1.23634,0
20180326 192600,1.24525,1.2453,1.24518,1.2453,0
20180327 192800,1.24061,1.24067,1.24061,1.24067,0
20180328 192800,1.23092,1.23096,1.23086,1.23093,0
20180329 193500,1.22998,1.23,1.22997,1.23,0
20180401 204300,1.2319,1.2319,1.23189,1.23189,0
20180402 205600,1.23003,1.23014,1.23003,1.23014,0
20180403 210500,1.22779,1.22781,1.22771,1.22772,0
20180404 211100,1.22856,1.22857,1.22853,1.22853,0
20180405 211500,1.22525,1.22545,1.22523,1.2254,0
20180408 212500,1.22722,1.22744,1.22722,1.22742,0
20180409 213000,1.23214,1.2322,1.23199,1.23219,0
20180410 213400,1.2358,1.23588,1.23578,1.23585,0
20180411 213600,1.23732,1.23736,1.23729,1.23733,0
20180412 214100,1.23251,1.23253,1.23249,1.23252,0
20180415 214900,1.2338,1.23383,1.23355,1.23355,0
20180416 215600,1.23815,1.23815,1.2381,1.23812,0
20180417 220000,1.23713,1.23727,1.23713,1.23727,0
20180418 220500,1.23689,1.2369,1.23688,1.23689,0
20180419 220600,1.23441,1.23444,1.23438,1.23443,0
20180422 221800,1.22746,1.22746,1.22735,1.22741,0
20180423 222400,1.22115,1.22116,1.22102,1.22112,0
20180424 222900,1.22247,1.22255,1.22247,1.22255,0
20180425 223500,1.21734,1.21739,1.21732,1.21739,0
20180426 223900,1.21085,1.21085,1.21085,1.21085,0
20180429 225100,1.21317,1.21322,1.21317,1.21321,0
20180430 225600,1.20752,1.20757,1.20752,1.20757,0
20180501 230700,1.20058,1.20064,1.20058,1.20064,0
20180502 231200,1.19802,1.19822,1.19802,1.19806,0
20180503 231500,1.19895,1.19903,1.19894,1.19902,0
20180506 232300,1.19757,1.1976,1.19755,1.19758,0
20180507 233600,1.19191,1.19202,1.19191,1.192,0
