,Date,Time,Open,High,Low,Close,ma,ema
50,08/05/2018,23:42,1.18571,1.18575,1.18571,1.18571,1.1533494117647056,1.1509970588235297
51,18/05/2018,00:12,1.18026,1.18026,1.18021,1.18026,1.1538669230769227,1.153706923076923
52,29/05/2018,00:50,1.16312,1.16314,1.16307,1.1631,1.1540418867924525,1.152101320754717
53,07/06/2018,01:02,1.17957,1.17963,1.17954,1.17963,1.1545157407407405,1.1540562962962964
54,18/06/2018,01:26,1.15953,1.15957,1.15953,1.15955,1.1546076363636362,1.1531023636363638
55,27/06/2018,01:37,1.16457,1.16459,1.16437,1.16454,1.1547858928571426,1.1542532142857143
56,06/07/2018,02:01,1.16984,1.1702,1.16984,1.17019,1.1550563157894733,1.1535054385964914
57,17/07/2018,02:19,1.17291,1.17328,1.17285,1.17318,1.155370517241379,1.1548031034482757
58,26/07/2018,02:33,1.17343,1.17346,1.17327,1.17345,1.1556771186440675,1.1541757627118645
59,06/08/2018,03:20,1.15611,1.15611,1.15593,1.15607,1.155684333333333,1.155425
60,15/08/2018,03:53,1.13323,1.13346,1.13323,1.13337,1.1553199999999997,1.1542391803278689
61,24/08/2018,04:13,1.15549,1.15576,1.15549,1.15575,1.1553270967741933,1.1547164516129031
62,04/09/2018,04:54,1.15622,1.15625,1.15611,1.1562,1.1553417460317459,1.1542874603174604
63,13/09/2018,05:17,1.16101,1.16126,1.16097,1.16123,1.1554342187499997,1.1547643749999998
64,24/09/2018,05:41,1.17723,1.17726,1.17713,1.17721,1.1557699999999997,1.1545020000000001
65,03/10/2018,05:52,1.15657,1.15662,1.15648,1.15661,1.1557828787878786,1.1554460606060606
66,12/10/2018,06:03,1.15801,1.15802,1.1576,1.15764,1.1558162686567162,1.1545652238805972
67,23/10/2018,06:23,1.14817,1.14817,1.148,1.14802,1.1557038235294115,1.1555217647058824
68,01/11/2018,06:46,1.1376,1.1377,1.13754,1.13756,1.1554428985507244,1.1543798550724638
69,12/11/2018,07:05,1.12623,1.12642,1.12623,1.12638,1.1550282857142853,1.1550125714285715
70,21/11/2018,07:22,1.13988,1.13988,1.13968,1.1397,1.1548149295774643,1.153592253521127
71,30/11/2018,08:06,1.1366,1.1367,1.1366,1.1367,1.154563333333333,1.1545922222222222
72,11/12/2018,08:19,1.13766,1.13797,1.13757,1.13791,1.1543360273972598,1.1531294520547948
73,20/12/2018,08:24,1.14545,1.14549,1.1452,1.14535,1.1542164864864861,1.154142972972973
74,01/01/2019,17:02,1.14598,1.14599,1.14598,1.14598,1.1541067999999997,1.1529257333333336
75,10/01/2019,17:03,1.14978,1.14978,1.14967,1.14972,1.1540498684210523,1.1539284210526317
