Date,Open,High,Low,Close,Volume
20190101 170200,1.14598,1.14599,1.14598,1.14598,0
20190102 170200,1.13415,1.13448,1.13415,1.13422,0
20190103 170200,1.13923,1.13925,1.13923,1.13925,0
20190106 170200,1.13956,1.13956,1.13956,1.13956,0
20190107 170200,1.14741,1.14741,1.14735,1.14735,0
20190108 170200,1.14401,1.14402,1.144,1.14401,0
20190109 170300,1.15424,1.15425,1.15422,1.15425,0
20190110 170300,1.14978,1.14978,1.14967,1.14972,0
20190113 170400,1.14598,1.14598,1.14596,1.14596,0
20190114 170500,1.14677,1.14677,1.14674,1.14675,0
20190115 170500,1.14102,1.14104,1.14101,1.14102,0
20190116 170500,1.13916,1.13941,1.13913,1.13939,0
20190117 170600,1.13901,1.13901,1.13881,1.13881,0
20190120 170600,1.13618,1.13618,1.13616,1.13617,0
20190121 170700,1.13657,1.1366,1.13644,1.13657,0
20190122 170700,1.136,1.13606,1.136,1.13604,0
20190123 170700,1.13824,1.13825,1.13818,1.13818,0
20190124 170700,1.13021,1.13034,1.13015,1.1303,0
20190127 171300,1.14033,1.14034,1.14021,1.14021,0
20190128 171300,1.14263,1.14276,1.14263,1.14266,0
20190129 171300,1.14329,1.14334,1.14325,1.14326,0
20190130 171300,1.14829,1.14845,1.14812,1.14812,0
20190131 171300,1.14476,1.14478,1.14475,1.14478,0
20190203 171400,1.14547,1.14548,1.14543,1.14543,0
20190204 171400,1.14359,1.14363,1.14359,1.14363,0
20190205 171400,1.14044,1.14045,1.14037,1.14037,0
20190206 171400,1.13641,1.13643,1.13625,1.13625,0
20190207 171400,1.13394,1.13398,1.13394,1.13396,0
20190210 171400,1.13157,1.13157,1.1315,1.13151,0
20190211 171400,1.12765,1.12766,1.12765,1.12765,0
20190212 171400,1.13269,1.13284,1.13268,1.13284,0
20190213 171400,1.12637,1.12638,1.12637,1.12638,0
20190214 171400,1.1296,1.12961,1.12952,1.12952,0
20190217 171400,1.12929,1.1293,1.12924,1.12924,0
20190218 171500,1.13096,1.13097,1.13095,1.13096,0
20190219 171700,1.13422,1.13422,1.13417,1.13417,0
20190220 171700,1.1341,1.13411,1.13377,1.13382,0
20190221 172000,1.13343,1.13343,1.1333,1.13332,0
20190224 172000,1.13347,1.13366,1.1332,1.13337,0
20190225 172200,1.13601,1.13602,1.13592,1.13595,0
20190226 172200,1.139,1.13912,1.13874,1.13886,0
20190227 172200,1.13696,1.13707,1.13694,1.13706,0
20190228 172200,1.13708,1.13722,1.13704,1.13718,0
20190303 172200,1.13764,1.13765,1.13764,1.13765,0
20190304 172400,1.13373,1.13382,1.13346,1.13348,0
20190305 172400,1.1307,1.13072,1.1307,1.13071,0
20190306 172400,1.13086,1.13091,1.13085,1.1309,0
20190307 172400,1.11917,1.11922,1.11913,1.11918,0
20190310 162400,1.12319,1.1232,1.12318,1.12319,0
20190311 162400,1.12449,1.12468,1.12449,1.12459,0
20190312 162400,1.12882,1.12882,1.12875,1.12877,0
20190313 162400,1.13278,1.13278,1.13273,1.13275,0
20190314 162400,1.13007,1.13028,1.12998,1.13025,0
20190317 162600,1.13224,1.13225,1.13224,1.13225,0
20190318 162600,1.13376,1.13377,1.13376,1.13377,0
20190319 162600,1.13503,1.13518,1.13501,1.13515,0
20190320 162700,1.14144,1.14146,1.14144,1.14145,0
20190321 162700,1.1378,1.13784,1.13779,1.13783,0
20190324 163200,1.12959,1.12975,1.12956,1.12965,0
20190325 163200,1.13132,1.13141,1.13118,1.13127,0
20190326 163200,1.12676,1.12681,1.12673,1.12679,0
20190327 163200,1.12498,1.125,1.12497,1.12499,0
20190328 163200,1.12239,1.12239,1.12237,1.12237,0
20190331 173300,1.12264,1.12264,1.12263,1.12264,0
20190401 183300,1.12051,1.12051,1.12046,1.12047,0
20190402 183300,1.12043,1.12043,1.12041,1.12042,0
20190403 183300,1.12401,1.12402,1.12401,1.12402,0
20190404 183300,1.12216,1.12221,1.12215,1.12221,0
20190407 183300,1.1219,1.12197,1.1219,1.12197,0
20190408 183300,1.12631,1.12632,1.12631,1.12632,0
20190409 183300,1.12638,1.12642,1.12637,1.12642,0
20190410 183300,1.1275,1.12751,1.12743,1.12743,0
20190411 183400,1.12583,1.12583,1.12581,1.12582,0
20190414 183700,1.13031,1.13032,1.13031,1.13031,0
20190415 183700,1.13024,1.13025,1.1302,1.13024,0
20190416 183700,1.12865,1.12867,1.12865,1.12866,0
20190417 183700,1.12981,1.12981,1.12979,1.12979,0
20190418 183700,1.12341,1.12342,1.12341,1.12342,0
20190421 184300,1.12419,1.12423,1.12418,1.12421,0
20190422 184400,1.12592,1.12599,1.12592,1.12597,0
