Date,Open,High,Low,Close,Volume
20190101 170200,1.14598,1.14599,1.14598,1.14598,0
20190101 180200,1.14664,1.14669,1.14655,1.14655,0
20190101 190200,1.14599,1.14599,1.14586,1.14586,0
20190101 200200,1.14547,1.14553,1.14545,1.14551,0
20190101 210200,1.14521,1.14531,1.14519,1.14527,0
20190101 220200,1.14457,1.1446,1.14454,1.14458,0
20190101 230200,1.14449,1.14449,1.14438,1.14439,0
20190102 000200,1.14464,1.14469,1.14463,1.14469,0
20190102 010200,1.14822,1.14859,1.14819,1.14849,0
20190102 020200,1.1484,1.14843,1.14827,1.14829,0
20190102 030200,1.1476,1.14764,1.14703,1.14703,0
20190102 040200,1.14447,1.14489,1.14445,1.14474,0
20190102 050200,1.14355,1.14378,1.1435,1.1435,0
20190102 060200,1.14363,1.14363,1.14357,1.14358,0
20190102 070200,1.14294,1.14308,1.14291,1.14295,0
20190102 080200,1.14045,1.14055,1.14038,1.14054,0
20190102 090200,1.13723,1.13738,1.13684,1.13736,0
20190102 100200,1.13592,1.13635,1.13591,1.13617,0
20190102 110200,1.13572,1.13602,1.13566,1.13597,0
20190102 120200,1.13564,1.13564,1.13546,1.13549,0
20190102 130200,1.1334,1.13348,1.13324,1.13327,0
20190102 140200,1.13298,1.13298,1.13276,1.13276,0
20190102 150200,1.13435,1.13436,1.13422,1.13426,0
20190102 160200,1.13434,1.13435,1.13429,1.13435,0
20190102 170200,1.13415,1.13448,1.13415,1.13422,0
20190102 180200,1.1339,1.13457,1.13389,1.13439,0
20190102 190200,1.13263,1.13332,1.13263,1.13331,0
20190102 200200,1.13427,1.13427,1.13409,1.13418,0
20190102 210200,1.13494,1.13495,1.13486,1.13489,0
20190102 220200,1.13581,1.13588,1.1358,1.13586,0
20190102 230200,1.13637,1.13638,1.13632,1.13633,0
20190103 000200,1.13694,1.13698,1.13689,1.13693,0
20190103 010200,1.13628,1.13634,1.13613,1.13618,0
20190103 020200,1.13751,1.13752,1.13707,1.13732,0
20190103 030200,1.13719,1.13732,1.1362,1.13624,0
20190103 040200,1.13782,1.13782,1.13768,1.13774,0
20190103 050200,1.13765,1.13794,1.13763,1.13783,0
20190103 060200,1.13702,1.13704,1.13686,1.13696,0
20190103 070200,1.13403,1.13432,1.13394,1.1343,0
20190103 080200,1.13468,1.13501,1.13467,1.13486,0
20190103 090200,1.1369,1.13698,1.13683,1.13685,0
20190103 100200,1.13858,1.13944,1.13855,1.13944,0
20190103 110200,1.1392,1.1392,1.13871,1.13898,0
20190103 120200,1.13954,1.13958,1.13931,1.13946,0
20190103 130200,1.13996,1.13998,1.13988,1.13989,0
20190103 140200,1.14001,1.14018,1.14001,1.14013,0
20190103 150200,1.13938,1.13948,1.13938,1.13946,0
20190103 160200,1.1398,1.13987,1.13975,1.13984,0
20190103 170200,1.13923,1.13925,1.13923,1.13925,0
20190103 180200,1.13936,1.1394,1.13933,1.13935,0
20190103 190200,1.13923,1.13929,1.13916,1.13924,0
20190103 200200,1.14087,1.14118,1.1408,1.14094,0
20190103 210200,1.14037,1.14045,1.14037,1.14044,0
20190103 220200,1.13965,1.13968,1.13955,1.13955,0
20190103 230200,1.13975,1.13975,1.13965,1.13967,0
20190104 000200,1.1394,1.13944,1.13939,1.13939,0
20190104 010200,1.13875,1.13885,1.13875,1.13884,0
20190104 020200,1.13926,1.13932,1.13925,1.13928,0
20190104 030200,1.1406,1.14063,1.14052,1.1406,0
20190104 040200,1.14103,1.14116,1.141,1.14101,0
20190104 050200,1.14,1.14007,1.13998,1.14,0
20190104 060200,1.14031,1.14037,1.14028,1.14034,0
20190104 070200,1.1409,1.14107,1.14089,1.14106,0
20190104 080200,1.14049,1.14063,1.14049,1.14062,0
20190104 090200,1.13657,1.13706,1.1364,1.13704,0
20190104 100200,1.13528,1.13535,1.135,1.13515,0
20190104 110200,1.14136,1.14168,1.14082,1.14167,0
20190104 120200,1.14085,1.14096,1.14081,1.14086,0
20190104 130200,1.14037,1.14042,1.14026,1.14041,0
20190104 140200,1.13971,1.13983,1.13965,1.13979,0
20190104 150200,1.13989,1.13992,1.13979,1.13988,0
20190104 160200,1.14018,1.1402,1.14011,1.14015,0
20190106 170200,1.13956,1.13956,1.13956,1.13956,0
20190106 180200,1.14094,1.14108,1.14085,1.14101,0
20190106 190200,1.14097,1.14112,1.14096,1.14108,0
20190106 200200,1.14092,1.14097,1.14088,1.14096,0
20190106 210200,1.14199,1.14209,1.14198,1.14201,0
20190106 220200,1.14179,1.14183,1.14176,1.14179,0
20190106 230200,1.14226,1.14236,1.14226,1.14233,0
20190107 000200,1.14206,1.14216,1.14201,1.14206,0
20190107 010200,1.14236,1.14237,1.14216,1.14216,0
20190107 020200,1.14179,1.14189,1.14166,1.14171,0
20190107 030200,1.14369,1.14381,1.1436,1.14371,0
20190107 040200,1.14324,1.14363,1.14324,1.14351,0
20190107 050200,1.14434,1.14452,1.14433,1.14451,0
20190107 060200,1.14377,1.14378,1.14366,1.14374,0
20190107 070200,1.14395,1.14433,1.14395,1.14432,0
20190107 080200,1.14447,1.1445,1.14436,1.14443,0
20190107 090200,1.14581,1.14589,1.14579,1.1458,0
20190107 100200,1.14656,1.14656,1.14595,1.14602,0
20190107 110200,1.14616,1.14658,1.14601,1.14656,0
20190107 120200,1.14655,1.14676,1.14655,1.14668,0
20190107 130200,1.1472,1.14725,1.14715,1.14724,0
20190107 140200,1.14751,1.14759,1.14746,1.14757,0
20190107 150200,1.14796,1.14801,1.14789,1.14792,0
20190107 160200,1.14748,1.14748,1.14746,1.14747,0
20190107 170200,1.14741,1.14741,1.14735,1.14735,0
20190107 180200,1.14771,1.14771,1.14764,1.14769,0
20190107 190200,1.14791,1.14806,1.14791,1.14806,0
20190107 200200,1.14688,1.14692,1.14686,1.14688,0
20190107 210200,1.1444,1.14452,1.14436,1.14437,0
20190107 220200,1.14515,1.14515,1.14504,1.14505,0
20190107 230200,1.1437,1.1437,1.14366,1.14369,0
20190108 000200,1.14395,1.14401,1.14393,1.14399,0
20190108 010200,1.14415,1.14416,1.1441,1.14411,0
20190108 020200,1.14363,1.14376,1.14343,1.14345,0
20190108 030200,1.14473,1.14483,1.14468,1.14474,0
20190108 040200,1.14516,1.14516,1.14477,1.14507,0
20190108 050200,1.14476,1.14483,1.14454,1.14482,0
20190108 060200,1.14468,1.14468,1.14461,1.14463,0
20190108 070200,1.14644,1.14661,1.14644,1.14659,0
20190108 080200,1.14463,1.14497,1.14463,1.14484,0
20190108 090200,1.14259,1.14272,1.14244,1.14271,0
20190108 100200,1.14401,1.14401,1.14382,1.1439,0
20190108 110200,1.14431,1.14437,1.14414,1.14414,0
20190108 120200,1.14425,1.14431,1.14421,1.14425,0
20190108 130200,1.14555,1.14556,1.14513,1.14525,0
