Date,Open,High,Low,Close,Volume
20210103 170000,1.22396,1.22396,1.22373,1.22395,0
20210103 180500,1.22334,1.22334,1.22304,1.22319,0
20210103 190500,1.22431,1.22471,1.22426,1.22469,0
20210103 200500,1.22416,1.22437,1.22416,1.22433,0
20210103 210500,1.2255,1.22558,1.2255,1.22556,0
20210103 220500,1.22503,1.22513,1.22499,1.22507,0
20210103 230500,1.22523,1.22536,1.22522,1.22529,0
20210104 000500,1.22475,1.22479,1.22469,1.22469,0
20210104 010500,1.22544,1.22544,1.2253,1.22532,0
20210104 020500,1.22583,1.22583,1.22551,1.22554,0
20210104 030500,1.22688,1.22703,1.22679,1.22697,0
20210104 040500,1.22837,1.22837,1.22821,1.22826,0
20210104 050500,1.22938,1.22942,1.2292,1.22942,0
20210104 060500,1.22973,1.22994,1.2297,1.22991,0
20210104 070500,1.229,1.22915,1.22899,1.22907,0
20210104 080500,1.23018,1.23018,1.22993,1.23006,0
20210104 090500,1.22957,1.22973,1.22952,1.22957,0
20210104 100500,1.22834,1.22863,1.22833,1.22861,0
20210104 110500,1.22736,1.22751,1.22715,1.22716,0
20210104 120500,1.22539,1.22549,1.22539,1.22544,0
20210104 130500,1.22537,1.22546,1.22531,1.22537,0
20210104 140500,1.22488,1.22491,1.22467,1.22467,0
20210104 150500,1.22466,1.22468,1.22461,1.22464,0
20210104 160500,1.22468,1.22477,1.22468,1.22477,0
20210104 170500,1.22445,1.22493,1.22445,1.22464,0
20210104 180700,1.22472,1.22478,1.22472,1.22478,0
20210104 190700,1.22478,1.22489,1.22476,1.22489,0
20210104 200700,1.22581,1.22585,1.22567,1.22567,0
20210104 210700,1.22574,1.22579,1.22571,1.22572,0
20210104 220700,1.22688,1.22694,1.22686,1.22691,0
20210104 230700,1.2271,1.22719,1.22705,1.22709,0
20210105 000700,1.2271,1.22711,1.22706,1.2271,0
20210105 010700,1.2269,1.22693,1.22689,1.22692,0
20210105 020700,1.22639,1.22649,1.22621,1.22624,0
20210105 030700,1.22625,1.22661,1.22624,1.22657,0
20210105 040700,1.2277,1.22797,1.2277,1.22789,0
20210105 050700,1.22757,1.22785,1.22757,1.22784,0
20210105 060700,1.2283,1.22837,1.22826,1.2283,0
20210105 070700,1.22842,1.22843,1.22829,1.22829,0
20210105 080700,1.22709,1.22724,1.22708,1.22719,0
20210105 090700,1.22672,1.22672,1.22648,1.22658,0
20210105 100700,1.22591,1.22597,1.22575,1.22575,0
20210105 110700,1.22769,1.22777,1.2276,1.2276,0
20210105 120700,1.2299,1.23007,1.22982,1.22982,0
20210105 130700,1.22998,1.23004,1.2299,1.2299,0
20210105 140700,1.22921,1.22932,1.2292,1.22926,0
20210105 150700,1.22996,1.22997,1.22986,1.22996,0
20210105 160700,1.22923,1.22926,1.2292,1.2292,0
20210105 170800,1.22969,1.22969,1.22939,1.22962,0
20210105 181400,1.22955,1.22969,1.22955,1.22969,0
20210105 191400,1.22968,1.22969,1.22954,1.22959,0
20210105 201400,1.23027,1.23027,1.2301,1.23019,0
20210105 211400,1.22899,1.22902,1.22882,1.22887,0
20210105 221400,1.22891,1.22894,1.22881,1.22891,0
20210105 231400,1.22861,1.22866,1.22858,1.22866,0
20210106 001400,1.22974,1.22988,1.22972,1.22981,0
20210106 011400,1.23006,1.23032,1.23006,1.23027,0
20210106 021400,1.23304,1.23315,1.2329,1.23308,0
20210106 031400,1.23316,1.23325,1.23307,1.23321,0
20210106 041400,1.23333,1.23358,1.23327,1.23353,0
20210106 051400,1.23358,1.23365,1.23355,1.23357,0
20210106 061400,1.23394,1.23396,1.23371,1.23378,0
20210106 071400,1.23446,1.23461,1.23441,1.23455,0
20210106 081400,1.23373,1.23385,1.23363,1.23367,0
