Date,Open,High,Low,Close,Volume
20180108 061200,1.20023,1.20026,1.20019,1.20025,0
20180108 071200,1.19871,1.19881,1.19864,1.19881,0
20180108 081200,1.19722,1.19735,1.19722,1.19726,0
20180108 091200,1.19738,1.19748,1.19736,1.19747,0
20180108 101200,1.19623,1.19625,1.19601,1.19606,0
20180108 111200,1.19773,1.19773,1.19751,1.19756,0
20180108 121200,1.19781,1.19785,1.19771,1.19774,0
20180108 131200,1.19728,1.19728,1.1972,1.1972,0
20180108 141200,1.19603,1.19605,1.19596,1.19596,0
20180108 151300,1.19632,1.19632,1.19625,1.19625,0
20180108 161300,1.1965,1.19651,1.19648,1.19648,0
20180108 171400,1.19672,1.19672,1.19661,1.19661,0
20180108 181400,1.1967,1.1967,1.1967,1.1967,0
20180108 191400,1.19663,1.19668,1.19661,1.19666,0
20180108 201400,1.19663,1.19664,1.19644,1.19644,0
20180108 211400,1.19702,1.19709,1.197,1.19705,0
20180108 221400,1.19743,1.19743,1.1974,1.19741,0
20180108 231500,1.19696,1.19699,1.19696,1.19699,0
20180109 001600,1.19673,1.19675,1.19673,1.19675,0
20180109 011600,1.19602,1.19633,1.19602,1.19632,0
20180109 021600,1.19681,1.19686,1.19675,1.19677,0
20180109 031600,1.19435,1.19449,1.19435,1.19448,0
20180109 041600,1.19415,1.19423,1.19415,1.19423,0
20180109 051600,1.19306,1.19323,1.19306,1.19315,0
20180109 061600,1.19217,1.19228,1.19212,1.19228,0
20180109 071600,1.19316,1.19321,1.19313,1.19321,0
20180109 081600,1.19307,1.19326,1.19304,1.19326,0
20180109 091600,1.19282,1.19295,1.1928,1.19292,0
20180109 101600,1.19256,1.19262,1.19248,1.19248,0
20180109 111600,1.19234,1.19243,1.19229,1.19243,0
20180109 121600,1.19227,1.19228,1.19209,1.19216,0
20180109 131600,1.192,1.19202,1.19194,1.19195,0
20180109 141600,1.19329,1.19332,1.19322,1.19327,0
20180109 151600,1.1931,1.19313,1.19309,1.19309,0
20180109 161600,1.19375,1.19377,1.19375,1.19377,0
20180109 171600,1.19353,1.19358,1.19353,1.19353,0
20180109 181800,1.19344,1.1935,1.19343,1.19348,0
20180109 191800,1.19298,1.19299,1.19298,1.19299,0
20180109 201800,1.19379,1.19386,1.19371,1.19371,0
20180109 211800,1.19462,1.19462,1.19449,1.1945,0
20180109 221800,1.19475,1.19479,1.19473,1.19479,0
20180109 231800,1.19409,1.1941,1.19403,1.19405,0
20180110 001800,1.19379,1.19379,1.19369,1.19373,0
20180110 011800,1.19282,1.19283,1.1927,1.1927,0
20180110 021800,1.1933,1.19331,1.19311,1.19323,0
20180110 031800,1.19466,1.19483,1.19463,1.19472,0
20180110 041800,1.19439,1.19447,1.19433,1.19441,0
20180110 051800,1.19392,1.194,1.19386,1.19399,0
20180110 061800,1.19934,1.19941,1.19921,1.19928,0
20180110 071800,1.20073,1.20083,1.2006,1.20061,0
20180110 081800,1.19929,1.19932,1.19918,1.19931,0
20180110 091800,1.20055,1.20055,1.20019,1.20019,0
20180110 101800,1.19915,1.19928,1.19913,1.1992,0
20180110 111800,1.19756,1.19756,1.19728,1.19732,0
20180110 121800,1.19555,1.19591,1.19549,1.19583,0
20180110 131800,1.19651,1.19658,1.19645,1.19658,0
20180110 141800,1.19481,1.19485,1.19477,1.1948,0
20180110 151800,1.19549,1.19573,1.19549,1.19561,0
20180110 161900,1.19554,1.19555,1.1955,1.1955,0
20180110 171900,1.19506,1.19507,1.19506,1.19507,0
20180110 181900,1.19532,1.19541,1.19532,1.19541,0
20180110 191900,1.19543,1.19554,1.19543,1.19554,0
20180110 201900,1.19557,1.19557,1.19541,1.19554,0
20180110 211900,1.1963,1.1963,1.19614,1.19619,0
20180110 221900,1.19661,1.1967,1.19654,1.19657,0
20180110 231900,1.19471,1.19481,1.19454,1.19455,0
20180111 001900,1.19474,1.19478,1.19467,1.19478,0
20180111 011900,1.19455,1.19455,1.19444,1.19446,0
20180111 021900,1.1946,1.19467,1.19447,1.1945,0
20180111 031900,1.19401,1.19409,1.19395,1.19399,0
20180111 041900,1.19429,1.19432,1.19417,1.1943,0
20180111 051900,1.19414,1.19434,1.19414,1.1943,0
20180111 061900,1.19444,1.19444,1.19434,1.19437,0
20180111 071900,1.19457,1.19457,1.19449,1.19449,0
20180111 081900,1.20193,1.20197,1.20175,1.20176,0
20180111 091900,1.20373,1.20404,1.20372,1.20398,0
20180111 101900,1.20541,1.20554,1.20525,1.20525,0
20180111 111900,1.20434,1.2045,1.20433,1.2044,0
20180111 121900,1.20371,1.20376,1.20363,1.20363,0
20180111 131900,1.20364,1.20364,1.20336,1.20344,0
20180111 141900,1.20403,1.20421,1.20402,1.20421,0
20180111 151900,1.20366,1.20369,1.20363,1.20363,0
20180111 161900,1.20325,1.20325,1.20323,1.20325,0
20180111 172000,1.2032,1.2032,1.20318,1.2032,0
20180111 182000,1.20322,1.20322,1.20312,1.20312,0
20180111 192000,1.20657,1.20661,1.20638,1.20661,0
20180111 202000,1.20521,1.20528,1.20518,1.20524,0
20180111 212000,1.20494,1.20498,1.20485,1.20489,0
20180111 222000,1.20525,1.20529,1.20515,1.20515,0
20180111 232000,1.20467,1.20487,1.20463,1.20487,0
20180112 002000,1.20549,1.20566,1.20545,1.20566,0
20180112 012000,1.20435,1.20436,1.2043,1.2043,0
20180112 022000,1.20565,1.20586,1.2056,1.20583,0
20180112 032000,1.20604,1.20645,1.206,1.20629,0
20180112 042000,1.21212,1.21241,1.2121,1.21227,0
20180112 052000,1.21176,1.21195,1.21175,1.21185,0
20180112 062000,1.21308,1.21326,1.21305,1.2132,0
20180112 072000,1.2128,1.21285,1.21278,1.21285,0
20180112 082000,1.21357,1.2137,1.21345,1.21363,0
20180112 092000,1.21345,1.21357,1.2134,1.21345,0
20180112 102000,1.21452,1.21454,1.21433,1.21434,0
20180112 112000,1.21425,1.21446,1.21415,1.21432,0
20180112 122000,1.21261,1.21266,1.21252,1.21265,0
20180112 132000,1.21411,1.21438,1.21411,1.21438,0
20180112 142000,1.21658,1.21676,1.21646,1.21649,0
20180112 152000,1.21776,1.2178,1.21775,1.21776,0
20180112 162000,1.21999,1.22001,1.21989,1.21996,0
20180114 172000,1.22011,1.22011,1.22006,1.22008,0
20180114 182000,1.21961,1.21961,1.21937,1.21937,0
20180114 192000,1.21937,1.21946,1.21924,1.21942,0
20180114 202000,1.22074,1.22078,1.2205,1.22056,0
20180114 212000,1.22002,1.22008,1.21999,1.22008,0
20180114 222000,1.21955,1.21955,1.21948,1.21948,0
20180114 232000,1.21992,1.21992,1.2198,1.2198,0
20180115 002000,1.22281,1.22385,1.22281,1.22351,0
20180115 012000,1.22188,1.22192,1.22151,1.22151,0
20180115 022000,1.22125,1.2216,1.22125,1.22145,0
20180115 032000,1.22185,1.22204,1.22175,1.22204,0
