,Date,Time,Open,High,Low,Close,ma,ema
22,03/01/2017,00:39,1.04841,1.04848,1.04841,1.04843,1.0475934782608696,1.047836956521739
23,03/01/2017,01:39,1.04843,1.04861,1.04839,1.04861,1.0476358333333333,1.0475425
24,03/01/2017,02:39,1.04557,1.04579,1.04551,1.04562,1.047562,1.0478987999999998
25,03/01/2017,03:39,1.04267,1.04301,1.04258,1.04298,1.047386923076923,1.0474076923076923
26,03/01/2017,04:39,1.04087,1.04094,1.04075,1.04086,1.0471481481481482,1.0475366666666663
27,03/01/2017,05:39,1.04106,1.04106,1.04085,1.04086,1.0469307142857143,1.0469457142857144
28,03/01/2017,06:39,1.03879,1.03888,1.03872,1.03882,1.0466531034482758,1.0470899999999996
29,03/01/2017,07:39,1.03828,1.03858,1.03821,1.03831,1.046384,1.046408
30,03/01/2017,08:39,1.03855,1.03858,1.03845,1.03845,1.0461322580645163,1.0465409677419353
31,03/01/2017,09:39,1.03959,1.03963,1.0395,1.03952,1.0459290625000002,1.04591875
32,03/01/2017,10:39,1.03652,1.03653,1.0364,1.03647,1.0456442424242425,1.046122121212121
33,03/01/2017,11:39,1.04194,1.04202,1.04177,1.04184,1.0455376470588238,1.0453664705882353
34,03/01/2017,12:39,1.04176,1.04178,1.04162,1.04178,1.0454302857142859,1.0458877142857141
35,03/01/2017,13:39,1.04251,1.04255,1.04244,1.04255,1.045350277777778,1.0451672222222221
36,03/01/2017,14:39,1.04055,1.04059,1.04052,1.04058,1.045221621621622,1.0457072972972972
37,03/01/2017,15:39,1.04152,1.04153,1.04129,1.04133,1.0451244736842107,1.0449263157894737
38,03/01/2017,16:39,1.0405,1.04058,1.04043,1.04045,1.0450079487179489,1.0454930769230768
39,03/01/2017,17:40,1.04043,1.04047,1.04043,1.04045,1.0448945000000003,1.044709
40,03/01/2017,18:40,1.04195,1.04198,1.04177,1.04181,1.0448234146341466,1.0452480487804876
41,03/01/2017,19:40,1.0407,1.04112,1.0407,1.04112,1.0447352380952384,1.0445790476190475
42,03/01/2017,20:40,1.03965,1.03966,1.03944,1.03944,1.0446172093023258,1.0450560465116276
43,03/01/2017,21:40,1.0401,1.04012,1.0401,1.04012,1.0445150000000003,1.0443554545454545
44,03/01/2017,22:40,1.0404,1.04046,1.0404,1.04046,1.0444248888888892,1.0448366666666664
45,03/01/2017,23:40,1.04077,1.04077,1.04076,1.04076,1.044345434782609,1.0441860869565218
46,04/01/2017,00:40,1.0404,1.04047,1.0404,1.04046,1.0442629787234046,1.0446636170212764
47,04/01/2017,01:40,1.04115,1.04123,1.04107,1.04123,1.044199791666667,1.0440312500000002
48,04/01/2017,02:40,1.04192,1.04194,1.04173,1.04173,1.044153673469388,1.044523469387755
49,04/01/2017,03:40,1.04248,1.04248,1.04213,1.04218,1.0441202,1.0439476000000003
50,04/01/2017,04:40,1.0441,1.0441,1.04393,1.04404,1.0441198039215687,1.0444433333333334
51,04/01/2017,05:40,1.04366,1.04382,1.04354,1.04382,1.0441140384615386,1.0439534615384618
52,04/01/2017,06:40,1.04333,1.04336,1.04319,1.04326,1.0440998113207547,1.0444198113207548
53,04/01/2017,07:40,1.04339,1.04348,1.04333,1.04345,1.0440883333333335,1.0439314814814817
54,04/01/2017,08:40,1.04373,1.04419,1.04373,1.04414,1.044090181818182,1.0443856363636366
55,04/01/2017,09:40,1.0449,1.04495,1.04453,1.0446,1.0441055357142859,1.0439407142857144
56,04/01/2017,10:40,1.0467,1.04696,1.0467,1.04672,1.0441556140350878,1.0444054385964914
57,04/01/2017,11:40,1.04775,1.04776,1.04763,1.04767,1.0442177586206898,1.044044827586207
58,04/01/2017,12:40,1.04753,1.04772,1.04753,1.04757,1.0442771186440678,1.044519152542373
59,04/01/2017,13:40,1.04746,1.04756,1.04738,1.04755,1.0443318333333333,1.0441673333333334
60,04/01/2017,14:40,1.0454,1.04554,1.04527,1.04535,1.0443516393442622,1.0446188524590163
