Date,Open,High,Low,Close,Volume
20200101 170000,1.1212,1.12121,1.12117,1.1212,0
20200112 171100,1.112,1.112,1.11199,1.11199,0
20200121 172100,1.1083,1.10834,1.1083,1.10831,0
20200130 172600,1.10344,1.10344,1.10343,1.10343,0
20200210 180500,1.09119,1.09122,1.09119,1.09121,0
20200219 185500,1.08104,1.08104,1.08103,1.08103,0
20200301 190200,1.105,1.10501,1.10483,1.10483,0
20200310 181400,1.13059,1.13064,1.13044,1.13046,0
20200319 181400,1.06659,1.06661,1.06649,1.06654,0
20200330 203600,1.10398,1.10427,1.10397,1.10407,0
20200408 204000,1.08674,1.087,1.08673,1.08688,0
20200419 211600,1.08608,1.08631,1.08598,1.08631,0
20200428 213800,1.08474,1.08488,1.08474,1.08482,0
20200507 220700,1.08461,1.08466,1.08456,1.08465,0
20200518 223200,1.09105,1.09105,1.09101,1.09102,0
20200527 225500,1.10167,1.10178,1.10166,1.10177,0
20200607 230800,1.12912,1.12914,1.12908,1.12912,0
20200616 234200,1.12645,1.12648,1.12645,1.12646,0
20200626 001700,1.12235,1.12248,1.12233,1.12248,0
20200707 010500,1.1314,1.13151,1.13137,1.13147,0
20200716 015000,1.14013,1.14014,1.14011,1.14012,0
20200727 023000,1.17074,1.17101,1.1707,1.17087,0
20200805 032000,1.18261,1.18263,1.18236,1.18262,0
20200814 041300,1.18054,1.18054,1.18041,1.18046,0
20200825 050200,1.18235,1.18243,1.18233,1.18238,0
20200903 062700,1.1824,1.18259,1.1824,1.18256,0
20200914 075200,1.18672,1.18694,1.18672,1.18687,0
20200923 091700,1.16904,1.16906,1.16884,1.16893,0
20201002 103300,1.17062,1.17094,1.17058,1.17092,0
20201013 114000,1.17472,1.17475,1.17463,1.17465,0
20201022 123600,1.18219,1.18221,1.18207,1.18213,0
20201102 121900,1.16317,1.16318,1.16306,1.16308,0
20201111 124400,1.17696,1.17705,1.17696,1.17705,0
20201120 133500,1.18567,1.18567,1.18561,1.18564,0
20201202 093000,1.2072,1.20729,1.20701,1.20712,0
20201211 102700,1.21251,1.2126,1.21235,1.21242,0
20201222 111300,1.21772,1.21774,1.21738,1.21751,0
