Date,Open,High,Low,Close,Volume
20170102 020000,1.05155,1.05197,1.05155,1.0519,0
20170102 030200,1.05155,1.05169,1.05155,1.05162,0
20170102 040200,1.04811,1.04813,1.04783,1.04787,0
20170102 050200,1.04856,1.04861,1.0485,1.04853,0
20170102 060200,1.04804,1.04808,1.04804,1.04805,0
20170102 070200,1.04765,1.0477,1.04763,1.04763,0
20170102 080200,1.04642,1.04649,1.04609,1.04616,0
20170102 090200,1.0466,1.04664,1.04646,1.04652,0
20170102 100200,1.04719,1.0472,1.04718,1.04718,0
20170102 110200,1.04697,1.04713,1.04689,1.04689,0
20170102 120600,1.04678,1.04688,1.04678,1.04688,0
20170102 130800,1.04653,1.04663,1.0465,1.04657,0
20170102 141700,1.04614,1.04614,1.04611,1.04611,0
20170102 152600,1.04574,1.04577,1.04573,1.04574,0
20170102 163500,1.04508,1.04508,1.04508,1.04508,0
20170102 173800,1.04666,1.04684,1.04665,1.04665,0
20170102 183800,1.04594,1.04601,1.04592,1.04597,0
20170102 193800,1.04685,1.04688,1.04681,1.04688,0
20170102 203800,1.04789,1.04797,1.04787,1.04796,0
20170102 213900,1.04764,1.04764,1.04749,1.04754,0
20170102 223900,1.04808,1.04808,1.04794,1.04797,0
20170102 233900,1.04854,1.04861,1.04851,1.04857,0
20170103 003900,1.04841,1.04848,1.04841,1.04843,0
20170103 013900,1.04843,1.04861,1.04839,1.04861,0
20170103 023900,1.04557,1.04579,1.04551,1.04562,0
20170103 033900,1.04267,1.04301,1.04258,1.04298,0
20170103 043900,1.04087,1.04094,1.04075,1.04086,0
20170103 053900,1.04106,1.04106,1.04085,1.04086,0
20170103 063900,1.03879,1.03888,1.03872,1.03882,0
20170103 073900,1.03828,1.03858,1.03821,1.03831,0
20170103 083900,1.03855,1.03858,1.03845,1.03845,0
20170103 093900,1.03959,1.03963,1.0395,1.03952,0
20170103 103900,1.03652,1.03653,1.0364,1.03647,0
20170103 113900,1.04194,1.04202,1.04177,1.04184,0
20170103 123900,1.04176,1.04178,1.04162,1.04178,0
20170103 133900,1.04251,1.04255,1.04244,1.04255,0
20170103 143900,1.04055,1.04059,1.04052,1.04058,0
20170103 153900,1.04152,1.04153,1.04129,1.04133,0
20170103 163900,1.0405,1.04058,1.04043,1.04045,0
20170103 174000,1.04043,1.04047,1.04043,1.04045,0
20170103 184000,1.04195,1.04198,1.04177,1.04181,0
20170103 194000,1.0407,1.04112,1.0407,1.04112,0
20170103 204000,1.03965,1.03966,1.03944,1.03944,0
20170103 214000,1.0401,1.04012,1.0401,1.04012,0
20170103 224000,1.0404,1.04046,1.0404,1.04046,0
20170103 234000,1.04077,1.04077,1.04076,1.04076,0
20170104 004000,1.0404,1.04047,1.0404,1.04046,0
20170104 014000,1.04115,1.04123,1.04107,1.04123,0
20170104 024000,1.04192,1.04194,1.04173,1.04173,0
20170104 034000,1.04248,1.04248,1.04213,1.04218,0
20170104 044000,1.0441,1.0441,1.04393,1.04404,0
20170104 054000,1.04366,1.04382,1.04354,1.04382,0
20170104 064000,1.04333,1.04336,1.04319,1.04326,0
20170104 074000,1.04339,1.04348,1.04333,1.04345,0
20170104 084000,1.04373,1.04419,1.04373,1.04414,0
20170104 094000,1.0449,1.04495,1.04453,1.0446,0
20170104 104000,1.0467,1.04696,1.0467,1.04672,0
20170104 114000,1.04775,1.04776,1.04763,1.04767,0
20170104 124000,1.04753,1.04772,1.04753,1.04757,0
20170104 134000,1.04746,1.04756,1.04738,1.04755,0
20170104 144000,1.0454,1.04554,1.04527,1.04535,0
20170104 154000,1.04727,1.04732,1.04713,1.04718,0
20170104 164000,1.04906,1.04906,1.04895,1.04896,0
20170104 174000,1.04865,1.04869,1.04857,1.04857,0
