Date,Open,High,Low,Close,Volume
20190101 170200,1.14598,1.14599,1.14598,1.14598,0
20190110 170300,1.14978,1.14978,1.14967,1.14972,0
20190121 170700,1.13657,1.1366,1.13644,1.13657,0
20190130 171300,1.14829,1.14845,1.14812,1.14812,0
20190210 171400,1.13157,1.13157,1.1315,1.13151,0
20190219 171700,1.13422,1.13422,1.13417,1.13417,0
20190228 172200,1.13708,1.13722,1.13704,1.13718,0
20190311 162400,1.12449,1.12468,1.12449,1.12459,0
20190320 162700,1.14144,1.14146,1.14144,1.14145,0
20190331 173300,1.12264,1.12264,1.12263,1.12264,0
20190409 183300,1.12638,1.12642,1.12637,1.12642,0
20190418 183700,1.12341,1.12342,1.12341,1.12342,0
20190429 184600,1.11836,1.11842,1.11835,1.11841,0
20190508 184800,1.11966,1.11967,1.11961,1.11965,0
20190519 184900,1.11623,1.11625,1.11621,1.11622,0
20190529 065700,1.1155,1.11557,1.11548,1.11557,0
20190607 070000,1.12627,1.12632,1.12621,1.12632,0
20190618 070500,1.11942,1.11967,1.1194,1.11966,0
20190627 070800,1.13767,1.13771,1.13759,1.13761,0
20190708 071600,1.12175,1.12188,1.12172,1.12182,0
20190717 071600,1.12213,1.12217,1.1221,1.1221,0
20190726 072100,1.11324,1.11338,1.11324,1.11337,0
20190806 072600,1.12021,1.12026,1.12015,1.12019,0
20190815 072900,1.11571,1.11575,1.115,1.11526,0
20190826 073400,1.11158,1.1116,1.11152,1.11157,0
20190904 080000,1.10149,1.10175,1.10143,1.10156,0
20190913 080800,1.11012,1.11013,1.10988,1.10995,0
20190924 082100,1.10015,1.10018,1.10014,1.10016,0
20191003 082500,1.09523,1.09528,1.0952,1.09528,0
20191014 083200,1.103,1.10307,1.10297,1.10302,0
20191023 083800,1.1119,1.11209,1.11189,1.11209,0
20191101 064500,1.11567,1.11574,1.11563,1.11574,0
20191112 075700,1.10179,1.10182,1.10172,1.10179,0
20191121 080800,1.10931,1.10937,1.10916,1.10931,0
20191202 082000,1.10242,1.10247,1.10238,1.10241,0
20191211 082900,1.10818,1.10818,1.10781,1.10786,0
20191220 083300,1.10886,1.10886,1.10858,1.10864,0
