,Date,Time,Open,High,Low,Close,ma,ema
0,02/01/2017,02:00,1.05155,1.05197,1.05155,1.0519,1.05197,1.05197
1,03/01/2017,02:39,1.04557,1.04579,1.04551,1.04562,1.04888,1.05197
2,04/01/2017,02:40,1.04192,1.04194,1.04173,1.04173,1.0465666666666669,1.04785
3,05/01/2017,02:40,1.0555,1.05552,1.05522,1.05551,1.0488050000000002,1.046955
4,06/01/2017,02:40,1.05856,1.05859,1.05845,1.0585,1.0507620000000002,1.050918
5,09/01/2017,02:45,1.05303,1.05321,1.05303,1.05318,1.0511700000000002,1.0508333333333333
6,10/01/2017,02:45,1.05939,1.05963,1.05939,1.05963,1.0523785714285716,1.051572857142857
7,11/01/2017,02:45,1.05592,1.05598,1.0558,1.05585,1.0528287500000002,1.0530325
8,12/01/2017,02:46,1.06329,1.06363,1.06328,1.0635,1.0540288888888891,1.0525522222222221
9,13/01/2017,02:47,1.06358,1.06392,1.06358,1.06392,1.055018,1.055152
10,16/01/2017,02:47,1.0611,1.06116,1.06103,1.06105,1.0555763636363638,1.0546190909090907
11,17/01/2017,02:52,1.06459,1.06479,1.06459,1.06479,1.0563441666666669,1.0561533333333335
12,18/01/2017,02:52,1.06825,1.06832,1.06823,1.0683,1.0572653846153848,1.056183846153846
13,19/01/2017,02:52,1.06425,1.06431,1.06403,1.06405,1.0577685714285716,1.0578914285714287
14,20/01/2017,02:52,1.06735,1.06747,1.06732,1.06747,1.0584153333333335,1.0572673333333331
15,23/01/2017,02:52,1.07461,1.07467,1.07439,1.07446,1.0594312500000003,1.0590887500000001
16,24/01/2017,02:52,1.07432,1.07436,1.07409,1.07416,1.060309411764706,1.0593147058823527
17,25/01/2017,02:54,1.07237,1.0725,1.07234,1.07243,1.060986666666667,1.0607855555555556
18,26/01/2017,02:54,1.07323,1.07331,1.07316,1.07323,1.061635263157895,1.0607026315789472
19,27/01/2017,02:55,1.06681,1.06701,1.06678,1.06693,1.0619040000000002,1.062038
20,30/01/2017,02:57,1.07007,1.07013,1.06996,1.06996,1.0622957142857143,1.061303333333333
21,31/01/2017,02:58,1.06994,1.07,1.06987,1.06987,1.0626459090909093,1.0627736363636364
22,01/02/2017,03:00,1.07814,1.07845,1.07791,1.0782,1.063333043478261,1.0620595652173912
23,02/02/2017,03:00,1.07925,1.07942,1.07906,1.07908,1.0640033333333334,1.06408
24,03/02/2017,03:00,1.0757,1.07589,1.0755,1.07552,1.0644788,1.0634484
25,06/02/2017,03:02,1.07505,1.07522,1.07501,1.07503,1.0648919230769232,1.0649884615384615
26,07/02/2017,03:03,1.06821,1.06835,1.06799,1.06799,1.06502,1.0643203703703703
27,08/02/2017,03:04,1.06465,1.06478,1.06458,1.0647,1.0650114285714287,1.0652285714285714
28,09/02/2017,03:05,1.06814,1.06831,1.06811,1.06822,1.0651251724137931,1.0643520689655173
29,10/02/2017,03:06,1.064,1.06406,1.06381,1.06392,1.0650896666666667,1.065434
30,13/02/2017,03:06,1.06433,1.06465,1.06432,1.06461,1.065075483870968,1.0643332258064517
31,14/02/2017,03:08,1.06155,1.06168,1.06152,1.06158,1.0649693750000002,1.065385
32,15/02/2017,03:10,1.05668,1.05674,1.05638,1.05638,1.06472,1.0641724242424244
33,16/02/2017,03:10,1.06271,1.06295,1.06269,1.06274,1.0646679411764708,1.0648764705882354
34,17/02/2017,03:11,1.06534,1.06534,1.06521,1.06522,1.064687142857143,1.0641025714285717
35,20/02/2017,03:12,1.06142,1.06167,1.06142,1.06165,1.0646033333333333,1.0649022222222224
36,21/02/2017,03:13,1.0574,1.0574,1.0572,1.05723,1.0644086486486488,1.0639710810810812
37,22/02/2017,03:13,1.05091,1.05092,1.0508,1.05088,1.0640536842105264,1.0645073684210529
38,23/02/2017,03:13,1.05584,1.05608,1.05577,1.05604,1.0638492307692309,1.0633017948717949
39,24/02/2017,03:14,1.05975,1.06004,1.05959,1.05966,1.063754,1.0640860000000003
40,27/02/2017,03:17,1.05751,1.05752,1.05745,1.05751,1.0636019512195123,1.0631426829268293
41,28/02/2017,03:17,1.0588,1.0588,1.05862,1.05878,1.063487619047619,1.0637733333333337
42,01/03/2017,03:19,1.05419,1.05428,1.0539,1.05425,1.063273488372093,1.0629406976744187
43,02/03/2017,03:19,1.05362,1.0537,1.05355,1.05355,1.063055909090909,1.0633418181818186
44,03/03/2017,03:21,1.05141,1.05148,1.05138,1.05148,1.0627986666666667,1.06253
45,06/03/2017,03:21,1.06184,1.06205,1.06173,1.0619,1.0627823913043477,1.0628260869565223
46,07/03/2017,03:23,1.05935,1.05943,1.0593,1.0594,1.0627110638297872,1.062509574468085
47,08/03/2017,03:25,1.05545,1.05546,1.05523,1.05527,1.0625599999999997,1.0626845833333338
48,09/03/2017,03:27,1.05467,1.05489,1.05463,1.05466,1.0624034693877549,1.0622218367346938
