Date,Open,High,Low,Close,Volume
20210103 170000,1.22396,1.22396,1.22373,1.22395,0
20210104 170500,1.22445,1.22493,1.22445,1.22464,0
20210105 170800,1.22969,1.22969,1.22939,1.22962,0
20210106 171700,1.23277,1.23297,1.23277,1.23297,0
20210107 172100,1.22637,1.2264,1.22637,1.2264,0
20210110 172800,1.2217,1.22171,1.22168,1.22168,0
20210111 173500,1.21526,1.21534,1.21526,1.21532,0
20210112 174000,1.22026,1.22033,1.22023,1.22025,0
20210113 174200,1.21563,1.21565,1.21551,1.21554,0
20210114 175000,1.21536,1.21536,1.21536,1.21536,0
20210117 180100,1.20764,1.20784,1.20759,1.20778,0
20210118 182200,1.20749,1.20756,1.20749,1.20754,0
20210119 182800,1.21369,1.21369,1.21359,1.21364,0
20210120 184300,1.21155,1.21155,1.21151,1.21152,0
20210121 184900,1.21653,1.21659,1.21653,1.21658,0
20210124 185400,1.21682,1.21683,1.21677,1.21677,0
20210125 190300,1.21383,1.21383,1.21374,1.21374,0
20210126 191500,1.21665,1.21665,1.21651,1.21661,0
20210127 192100,1.20946,1.2095,1.20935,1.20935,0
20210128 192400,1.21178,1.21178,1.21156,1.2116,0
20210131 192500,1.21273,1.21274,1.21252,1.21253,0
20210201 193100,1.20632,1.20642,1.20632,1.20642,0
20210202 193200,1.20375,1.20378,1.20372,1.20374,0
20210203 193900,1.20387,1.20389,1.20385,1.20386,0
20210204 195400,1.19671,1.19681,1.1967,1.19678,0
20210207 195600,1.20348,1.20357,1.20334,1.20344,0
20210208 202400,1.20595,1.20606,1.20594,1.20606,0
20210209 202900,1.21112,1.21112,1.21108,1.21108,0
20210210 204000,1.2117,1.21171,1.2114,1.2114,0
20210211 205900,1.21257,1.21271,1.21256,1.21271,0
20210214 211100,1.21274,1.21278,1.21271,1.21272,0
20210215 213300,1.21445,1.21448,1.21444,1.21447,0
20210216 213900,1.2094,1.20949,1.2094,1.20946,0
20210217 214400,1.20426,1.20427,1.20421,1.20424,0
20210218 215300,1.20839,1.20846,1.20838,1.20842,0
20210221 220100,1.21196,1.21199,1.21195,1.21195,0
20210222 221100,1.21668,1.21668,1.21659,1.21666,0
20210223 222500,1.21555,1.21558,1.21547,1.21557,0
20210224 222800,1.2165,1.21652,1.21646,1.21648,0
20210225 223100,1.21678,1.21698,1.21676,1.21692,0
20210228 223200,1.20861,1.20861,1.20851,1.20852,0
20210301 224300,1.2023,1.2024,1.20226,1.2024,0
20210302 224600,1.20829,1.20836,1.20829,1.20836,0
20210303 225800,1.20493,1.205,1.20486,1.20486,0
20210304 230300,1.19617,1.19617,1.19603,1.19604,0
20210307 231100,1.19002,1.19008,1.18997,1.19001,0
