Date,Open,High,Low,Close,Volume
20210103 170000,1.22396,1.22396,1.22373,1.22395,0
20210112 174000,1.22026,1.22033,1.22023,1.22025,0
20210121 184900,1.21653,1.21659,1.21653,1.21658,0
20210201 193100,1.20632,1.20642,1.20632,1.20642,0
20210210 204000,1.2117,1.21171,1.2114,1.2114,0
20210221 220100,1.21196,1.21199,1.21195,1.21195,0
20210302 224600,1.20829,1.20836,1.20829,1.20836,0
20210311 234300,1.19661,1.19662,1.1965,1.19652,0
20210322 232800,1.19289,1.19289,1.19281,1.19281,0
20210401 024700,1.17232,1.17243,1.17232,1.17239,0
20210412 045500,1.18851,1.18863,1.18841,1.18857,0
20210421 072500,1.20058,1.20075,1.20058,1.20075,0
20210430 093900,1.20838,1.20853,1.20838,1.20842,0
20210511 122600,1.21647,1.2165,1.2163,1.2163,0
20210520 142500,1.222,1.22205,1.22199,1.222,0
20210601 113500,1.22414,1.22434,1.22411,1.22434,0
20210610 142700,1.21737,1.2174,1.21734,1.21734,0
20210621 161300,1.19175,1.19186,1.19175,1.19177,0
20210630 172900,1.18561,1.18563,1.18561,1.18561,0
20210711 190700,1.18741,1.18747,1.1874,1.18745,0
20210720 203500,1.17809,1.1781,1.17804,1.17804,0
20210729 221500,1.18798,1.18807,1.18796,1.18801,0
20210810 011000,1.17379,1.17379,1.17375,1.17375,0
20210819 040400,1.16804,1.16833,1.16802,1.16833,0
20210830 071700,1.17928,1.17929,1.17922,1.17929,0
20210908 100700,1.18147,1.1819,1.18142,1.1815,0
20210917 124100,1.17319,1.17324,1.1731,1.17312,0
20210928 143100,1.16765,1.16768,1.16762,1.16765,0
20211007 155500,1.15535,1.15535,1.15523,1.15523,0
20211018 180200,1.16124,1.16129,1.16124,1.16129,0
20211027 203300,1.15921,1.15931,1.15921,1.15928,0
20211107 204500,1.15577,1.15577,1.1557,1.15576,0
20211116 213400,1.13213,1.13218,1.13213,1.13217,0
20211125 222000,1.1221,1.1221,1.12205,1.12205,0
20211206 223900,1.12905,1.12909,1.12905,1.12909,0
20211215 235600,1.12888,1.12888,1.12881,1.12886,0
20211227 011100,1.13143,1.13143,1.13142,1.13143,0
