Date,Open,High,Low,Close,Volume
20200101 170000,1.1212,1.12121,1.12117,1.1212,0
20200102 170000,1.11722,1.11722,1.11722,1.11722,0
20200105 170600,1.11649,1.11649,1.11646,1.11646,0
20200106 170800,1.1196,1.1196,1.11951,1.11951,0
20200107 170900,1.11485,1.11486,1.11483,1.11484,0
20200108 171000,1.11068,1.11073,1.11067,1.11069,0
20200109 171100,1.11048,1.11056,1.11047,1.11047,0
20200112 171100,1.112,1.112,1.11199,1.11199,0
20200113 171100,1.11367,1.11388,1.11355,1.11369,0
20200114 171100,1.11265,1.1127,1.11263,1.11268,0
20200115 171200,1.11498,1.11511,1.11498,1.11508,0
20200116 171300,1.11358,1.11358,1.11358,1.11358,0
20200119 171400,1.10922,1.10926,1.10915,1.10925,0
20200120 172000,1.10964,1.10965,1.10964,1.10964,0
20200121 172100,1.1083,1.10834,1.1083,1.10831,0
20200122 172100,1.10936,1.10937,1.10936,1.10937,0
20200123 172100,1.10545,1.10549,1.10543,1.10548,0
20200126 172100,1.10269,1.10273,1.10259,1.1027,0
20200127 172300,1.10198,1.10199,1.10197,1.10198,0
20200128 172500,1.10226,1.10236,1.10226,1.10234,0
20200129 172600,1.1009,1.10091,1.1009,1.10091,0
20200130 172600,1.10344,1.10344,1.10343,1.10343,0
20200202 172700,1.1088,1.10882,1.10876,1.10876,0
20200203 172900,1.106,1.106,1.10598,1.10599,0
20200204 173400,1.1044,1.10446,1.10436,1.10441,0
20200205 174100,1.09995,1.09995,1.09993,1.09994,0
20200206 174700,1.098,1.098,1.098,1.098,0
20200209 175600,1.09434,1.09439,1.09433,1.09438,0
20200210 180500,1.09119,1.09122,1.09119,1.09121,0
20200211 182900,1.09181,1.09181,1.09181,1.09181,0
20200212 183500,1.08706,1.08707,1.08706,1.08706,0
20200213 183500,1.08396,1.08398,1.08396,1.08397,0
20200216 183600,1.08401,1.08401,1.084,1.084,0
20200217 184400,1.08352,1.08352,1.0835,1.08351,0
20200218 184700,1.07963,1.07963,1.07959,1.07959,0
20200219 185500,1.08104,1.08104,1.08103,1.08103,0
20200220 185600,1.0788,1.0788,1.07875,1.07875,0
20200223 185900,1.08385,1.08385,1.08383,1.08384,0
20200224 190200,1.08499,1.08512,1.08499,1.08503,0
20200225 190200,1.0878,1.08784,1.0878,1.08782,0
20200226 190200,1.08879,1.08935,1.08878,1.08933,0
20200227 190200,1.09977,1.10005,1.09975,1.10004,0
20200301 190200,1.105,1.10501,1.10483,1.10483,0
20200302 190200,1.11414,1.11439,1.11412,1.11438,0
20200303 190500,1.11782,1.11787,1.11781,1.11781,0
20200304 190500,1.11372,1.11372,1.1134,1.11341,0
20200305 190900,1.12215,1.12236,1.1221,1.12232,0
20200308 181100,1.13699,1.13747,1.13676,1.13745,0
20200309 181400,1.14222,1.14228,1.14206,1.14214,0
20200310 181400,1.13059,1.13064,1.13044,1.13046,0
20200311 181400,1.12559,1.12566,1.12556,1.12566,0
20200312 181400,1.11769,1.11793,1.11767,1.11789,0
20200315 181400,1.11697,1.11707,1.11692,1.11693,0
20200316 181400,1.11675,1.11678,1.11666,1.11669,0
20200317 181400,1.10201,1.10227,1.102,1.10213,0
20200318 181400,1.09411,1.09498,1.09406,1.09459,0
20200319 181400,1.06659,1.06661,1.06649,1.06654,0
20200322 182200,1.06678,1.0669,1.06676,1.0669,0
20200323 182300,1.07536,1.07539,1.07519,1.07535,0
20200324 182400,1.08071,1.08073,1.0803,1.0803,0
20200325 182400,1.08818,1.08846,1.08816,1.08842,0
20200326 182400,1.10417,1.10421,1.10409,1.10409,0
20200329 203000,1.11208,1.11217,1.11208,1.1121,0
20200330 203600,1.10398,1.10427,1.10397,1.10407,0
20200331 203700,1.10293,1.10296,1.10282,1.10291,0
20200401 203700,1.09467,1.09467,1.09451,1.09451,0
20200402 203700,1.08375,1.08383,1.08368,1.08378,0
20200405 203700,1.08142,1.08158,1.08139,1.08156,0
20200406 203700,1.07963,1.07971,1.07957,1.07968,0
20200407 204000,1.08728,1.08751,1.08725,1.08747,0
20200408 204000,1.08674,1.087,1.08673,1.08688,0
20200409 204000,1.09248,1.09261,1.09248,1.09256,0
20200412 205800,1.09294,1.09301,1.09293,1.09299,0
20200413 210100,1.09228,1.09239,1.09226,1.09226,0
20200414 210400,1.09858,1.09859,1.09854,1.09854,0
20200415 210700,1.08855,1.08859,1.08846,1.08851,0
20200416 210700,1.08659,1.08679,1.08658,1.08679,0
20200419 211600,1.08608,1.08631,1.08598,1.08631,0
20200420 212100,1.08578,1.08587,1.08573,1.08583,0
20200421 212100,1.08595,1.08609,1.08594,1.08598,0
20200422 212400,1.08159,1.08169,1.08157,1.08169,0
20200423 212500,1.07657,1.07661,1.07656,1.07656,0
20200426 213500,1.08259,1.08265,1.08252,1.08254,0
20200427 213700,1.08299,1.08299,1.08271,1.08271,0
20200428 213800,1.08474,1.08488,1.08474,1.08482,0
20200429 214100,1.08648,1.0865,1.08643,1.08648,0
20200430 214300,1.09373,1.09388,1.09372,1.09388,0
20200503 220000,1.09501,1.09501,1.09491,1.09496,0
20200504 220200,1.09084,1.09087,1.09083,1.09087,0
20200505 220200,1.08357,1.08362,1.08352,1.0836,0
20200506 220400,1.07995,1.08007,1.07995,1.08002,0
20200507 220700,1.08461,1.08466,1.08456,1.08465,0
20200510 221200,1.08477,1.0848,1.08474,1.08475,0
20200511 221500,1.07961,1.07964,1.07957,1.0796,0
20200512 221900,1.08521,1.08521,1.08509,1.08516,0
20200513 222100,1.08123,1.08129,1.08118,1.08119,0
20200514 222200,1.07997,1.08,1.07989,1.07997,0
20200517 222900,1.08254,1.08255,1.08249,1.08255,0
20200518 223200,1.09105,1.09105,1.09101,1.09102,0
20200519 223400,1.09392,1.094,1.0939,1.09391,0
20200520 223600,1.09582,1.09584,1.09576,1.09576,0
20200521 223700,1.09385,1.09389,1.09384,1.09388,0
20200524 225200,1.08889,1.0889,1.08883,1.08889,0
20200525 225500,1.09116,1.09122,1.09115,1.0912,0
20200526 225500,1.09592,1.09594,1.09589,1.09592,0
20200527 225500,1.10167,1.10178,1.10166,1.10177,0
20200528 225500,1.10867,1.10869,1.10865,1.10867,0
20200531 225700,1.11375,1.11378,1.11373,1.11377,0
20200601 225800,1.11232,1.1124,1.11232,1.11238,0
20200602 230200,1.11953,1.11955,1.11947,1.1195,0
20200603 230300,1.12145,1.12145,1.12132,1.12135,0
20200604 230400,1.13331,1.13331,1.13318,1.13319,0
20200607 230800,1.12912,1.12914,1.12908,1.12912,0
20200608 231100,1.129,1.129,1.1289,1.1289,0
20200609 231700,1.13418,1.13418,1.13413,1.13413,0
20200610 232600,1.13805,1.13807,1.13794,1.13794,0
20200611 233000,1.12896,1.12897,1.1289,1.12896,0
20200614 233500,1.12553,1.12554,1.12548,1.12554,0
20200615 233600,1.13411,1.13412,1.13395,1.13407,0
20200616 234200,1.12645,1.12648,1.12645,1.12646,0
20200617 235000,1.12479,1.12479,1.12465,1.12471,0
20200618 235600,1.12122,1.12128,1.12118,1.12128,0
20200622 000200,1.11927,1.11955,1.11927,1.11954,0
20200623 000700,1.1267,1.12681,1.1267,1.1267,0
20200624 001400,1.13161,1.13162,1.1316,1.1316,0
20200625 001600,1.12417,1.12421,1.12414,1.12416,0
20200626 001700,1.12235,1.12248,1.12233,1.12248,0
20200629 002100,1.1241,1.12411,1.12406,1.12407,0
20200630 002700,1.12439,1.1244,1.12433,1.12437,0
20200701 003200,1.12257,1.1226,1.12256,1.12259,0
20200702 004000,1.12646,1.12653,1.12646,1.12652,0
20200703 004300,1.12328,1.12328,1.12309,1.12309,0
20200706 005400,1.12836,1.1284,1.12827,1.12829,0
20200707 010500,1.1314,1.13151,1.13137,1.13147,0
20200708 011300,1.12796,1.12803,1.12796,1.12802,0
20200709 012700,1.13647,1.1366,1.13647,1.1366,0
20200710 013500,1.12708,1.12709,1.12702,1.12705,0
20200713 014200,1.13338,1.13343,1.13338,1.13338,0
20200714 014200,1.13424,1.13428,1.13423,1.13423,0
20200715 014500,1.13974,1.13982,1.13974,1.13977,0
20200716 015000,1.14013,1.14014,1.14011,1.14012,0
20200717 015200,1.13847,1.13857,1.13842,1.13843,0
20200720 015700,1.14474,1.14485,1.1447,1.14484,0
20200721 020300,1.14496,1.14498,1.14465,1.14495,0
20200722 020500,1.15343,1.15343,1.15323,1.15328,0
20200723 021300,1.15897,1.15913,1.15897,1.15912,0
20200724 022800,1.1614,1.16141,1.16118,1.1612,0
20200727 023000,1.17074,1.17101,1.1707,1.17087,0
20200728 023700,1.17307,1.17328,1.17307,1.17325,0
20200729 025000,1.17507,1.17507,1.17488,1.17491,0
20200730 025200,1.17538,1.17547,1.17538,1.17547,0
20200731 030200,1.19018,1.19018,1.18993,1.19008,0
20200803 030600,1.17566,1.17587,1.17561,1.17583,0
20200804 031800,1.17858,1.17861,1.17828,1.17837,0
20200805 032000,1.18261,1.18263,1.18236,1.18262,0
20200806 032500,1.18671,1.18671,1.1858,1.18598,0
20200807 033200,1.18369,1.18387,1.18368,1.18375,0
20200810 034500,1.17751,1.17755,1.17741,1.17741,0
20200811 035000,1.17373,1.17407,1.17371,1.174,0
20200812 035700,1.1747,1.17486,1.17464,1.17475,0
20200813 040900,1.18179,1.18183,1.1817,1.18182,0
20200814 041300,1.18054,1.18054,1.18041,1.18046,0
20200817 042400,1.18394,1.18394,1.18382,1.18382,0
20200818 043300,1.18972,1.18972,1.18937,1.18944,0
20200819 043900,1.19417,1.19417,1.19389,1.1939,0
20200820 044400,1.18282,1.18316,1.18282,1.18295,0
20200821 044700,1.18139,1.1815,1.18132,1.18137,0
20200824 044900,1.18233,1.18247,1.18231,1.18237,0
20200825 050200,1.18235,1.18243,1.18233,1.18238,0
20200826 052100,1.18089,1.18089,1.1806,1.1806,0
20200827 053200,1.18308,1.18312,1.18282,1.18289,0
20200828 054700,1.19042,1.19044,1.19019,1.1902,0
20200831 055400,1.1913,1.19152,1.19128,1.19149,0
20200901 060900,1.19714,1.19718,1.19699,1.19701,0
20200902 062000,1.18664,1.18668,1.18656,1.18664,0
20200903 062700,1.1824,1.18259,1.1824,1.18256,0
20200904 064100,1.18477,1.18489,1.18473,1.18483,0
20200907 064700,1.18197,1.18209,1.18195,1.18208,0
20200908 065200,1.18042,1.18055,1.17999,1.18015,0
20200909 065600,1.17579,1.17583,1.17578,1.17583,0
20200910 071600,1.18337,1.18355,1.18337,1.18351,0
20200911 073400,1.18506,1.18522,1.18496,1.18517,0
20200914 075200,1.18672,1.18694,1.18672,1.18687,0
20200915 080800,1.18934,1.1896,1.18934,1.18949,0
20200916 083000,1.18729,1.18764,1.18725,1.18746,0
20200917 083400,1.17975,1.17999,1.17967,1.17986,0
20200918 084200,1.18417,1.18421,1.18385,1.18389,0
20200921 085700,1.17683,1.17704,1.17677,1.17696,0
20200922 090200,1.1749,1.17525,1.1749,1.17504,0
20200923 091700,1.16904,1.16906,1.16884,1.16893,0
20200924 092500,1.16463,1.16468,1.16441,1.16463,0
20200925 094000,1.16359,1.1639,1.16352,1.16353,0
20200928 094500,1.16696,1.16717,1.16696,1.16713,0
20200929 095800,1.17236,1.17239,1.17225,1.17228,0
20200930 101400,1.17163,1.17176,1.17127,1.17142,0
20201001 103000,1.17236,1.17275,1.17232,1.17273,0
20201002 103300,1.17062,1.17094,1.17058,1.17092,0
20201005 103800,1.17832,1.17832,1.17789,1.17826,0
20201006 110100,1.17912,1.17941,1.17905,1.1794,0
20201007 110500,1.17662,1.17682,1.17661,1.17671,0
20201008 110900,1.17524,1.17528,1.17512,1.1752,0
20201009 112600,1.18137,1.1819,1.18137,1.18171,0
20201012 112900,1.1809,1.18092,1.1808,1.1808,0
20201013 114000,1.17472,1.17475,1.17463,1.17465,0
20201014 115000,1.17582,1.17584,1.17574,1.17577,0
20201015 115900,1.1704,1.17042,1.16992,1.16997,0
20201016 120200,1.17158,1.17188,1.17155,1.17174,0
20201019 121000,1.17853,1.17861,1.17848,1.1785,0
20201020 122200,1.18271,1.18271,1.18261,1.18264,0
20201021 123300,1.18785,1.18786,1.18754,1.18755,0
20201022 123600,1.18219,1.18221,1.18207,1.18213,0
20201023 123800,1.184,1.18407,1.184,1.18406,0
